Campus,Term,Career,Class Nbr,Subject,Catalog Nbr,Title,Class Section,Course ID,Component Units,Facility ID,Meeting Start,Meeting End,Standard Meeting Pattern,Last Name,Initials,Enrollment Capacity,Enrollment Total,Learning Mode Descr
SDSU,Fall 2023,UGRD,6738,M E,230,Basics of Mechatronics,1001,39305,2,E221,8:00 AM,9:50 AM,T,Murthy,V,40,15,Face-to-face
SDSU,Fall 2023,UGRD,6739,M E,230,Basics of Mechatronics,2001,39305,2,E221,9:30 AM,11:20 AM,R,Moon,K,40,29,Face-to-face
SDSU,Fall 2023,UGRD,6740,M E,230,Basics of Mechatronics,2002,39305,1,E221,11:30 AM,2:10 PM,R,Wield,P,40,29,Face-to-face
SDSU,Fall 2023,UGRD,6741,M E,230,Basics of Mechatronics,3001,39305,2,E221,4:00 PM,5:50 PM,W,Lee,A,40,12,Face-to-face
SDSU,Fall 2023,UGRD,6742,M E,230,Basics of Mechatronics,1002,39305,1,E221,10:00 AM,12:40 PM,T,Wield,P,40,15,Face-to-face
SDSU,Fall 2023,UGRD,6743,M E,230,Basics of Mechatronics,3002,39305,1,E221,6:00 PM,8:40 PM,W,Lee,A,40,12,Face-to-face
SDSU,Fall 2023,UGRD,6744,M E,230,Basics of Mechatronics,4001,39305,2,E221,4:00 PM,5:50 PM,M,Lee,A,26,26,Face-to-face
SDSU,Fall 2023,UGRD,6746,M E,230,Basics of Mechatronics,4002,39305,1,E221,6:00 PM,8:40 PM,M,Lee,A,26,26,Face-to-face
SDSU,Fall 2023,UGRD,6748,COMPE,160,Intro to Computer Prog,2001,38495,2,PG242,12:00 PM,12:50 PM,MW,Paolini,C,85,75,Face-to-face
SDSU,Fall 2023,UGRD,6823,M E,520,Intro to Mechanical Vibra,1001,2319,3,PG153,2:00 PM,3:15 PM,MW,Naseradinmousavi,P,80,79,Face-to-face
SDSU,Fall 2023,UGRD,6824,M E,532,Robot Modeling & Control,1001,37832,3,GMCS301,8:00 AM,9:15 AM,TR,Nili Ahmadabadi,Z,80,53,Face-to-face
SDSU,Fall 2023,UGRD,6826,M E,535,Mech of Composites Struct,1001,38020,3,LL406,5:00 PM,6:15 PM,TR,Nacy,S,50,21,Face-to-face
SDSU,Fall 2023,UGRD,6828,M E,543,Powder-Based Manufact,1001,39492,3,E201,8:00 AM,9:15 AM,TR,Morsi,K,49,44,Face-to-face
SDSU,Fall 2023,UGRD,6829,M E,552,"Heat, Vent, & A/C",1001,38713,3,HH214,7:00 PM,8:15 PM,TR,Veca,G,70,41,Face-to-face
SDSU,Fall 2023,UGRD,6834,M E,555,Enrgy& Thrm Sys Anal/Dsgn,1001,38715,3,HT183,5:30 PM,6:45 PM,MW,Beyene,A,52,20,Face-to-face
SDSU,Fall 2023,UGRD,7665,A E,341,Fluid Mechanics Lab,1002,37953,1,EIS010,2:00 PM,3:40 PM,T,,,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7665,A E,341,Fluid Mechanics Lab,1002,37953,1,E427,1:00 PM,1:50 PM,T,Kharraz,A,25,25,Face-to-face
SDSU,Fall 2023,UGRD,7666,A E,341,Fluid Mechanics Lab,1003,37953,1,EIS010,2:00 PM,3:40 PM,W,,,25,15,Face-to-face
SDSU,Fall 2023,UGRD,7666,A E,341,Fluid Mechanics Lab,1003,37953,1,E328,1:00 PM,1:50 PM,W,Kharraz,A,25,15,Face-to-face
